CustomerID,SignupDate,Country,Age,MonthlySpend,Churned,WatchTimeHours
C1043,2023-10-31,Philippines,47,1455.4,1,12.46
C1044,2023-05-27,Philippines,59,2593.89,0,12.45
C1045,2023-01-04,UK,34,2194.77,1,6.98
C1046,2023-02-04,UK,22,,1,8.83
C1047,2023-07-11,,46,634.18,0,19.23
C1048,2023-02-18,Philippines,21,1599.37,1,7.07
C1049,2023-01-17,Philippines,27,3525.62,0,19.55
C1050,2023-06-21,UK,34,2442.03,1,15.52
C1051,2023-08-08,Philippines,27,2236.44,0,18.63
C1052,2023-06-07,,34,2566.34,0,6.85
C1053,2023-02-15,UK,37,3766.76,0,9.16
C1054,2023-01-06,Philippines,41,3598.44,0,7.75
C1055,2023-04-09,UK,22,736.38,0,15.63
,2023-08-21,UK,51,1031.6,1,7.16
C1057,2023-02-06,Philippines,23,709.27,1,13.66
,2023-10-07,,19,1402.31,1,13.39
C1059,2023-12-15,USA,30,2043.94,0,9.76
C1060,2023-10-29,UK,60,2193.61,0,16.49
C1061,2023-06-30,Philippines,60,775.62,0,10.54
C1062,2023-04-05,UK,,506.12,0,14.17
C1063,2023-04-09,Philippines,28,1388.17,0,7.53
C1064,2023-07-07,Philippines,64,2732.94,0,6.38
C1065,2023-04-26,,40,2872.29,1,13.66
C1066,2023-07-10,Philippines,33,3364.66,0,12.15
C1067,2023-09-10,Philippines,48,1974.14,0,11.22
,2023-06-10,,28,2662.52,0,8.28
C1069,2023-09-13,,33,2807.92,0,17.75
C1070,2023-11-19,USA,25,1602.51,0,4.42
C1071,2023-05-08,USA,21,2310.28,1,4.14
,2023-01-18,Philippines,57,2526.96,0,14.71
C1073,2023-10-08,Philippines,21,1272.67,0,14.3
C1074,2023-08-11,Philippines,42,3313.68,0,11.77
C1075,2023-02-23,USA,20,1968.95,1,-10.0
C1076,2023-02-27,UK,49,2069.63,1,12.51
,2023-11-19,UK,20,1242.13,1,18.6
C1078,2023-12-26,UK,44,1376.46,0,22.58
C1079,2023-06-23,Philippines,46,,0,1.72
C1080,2023-10-07,Philippines,49,2044.12,0,7.91
C1081,2023-04-24,Philippines,-5,4004.55,1,7.59
C1082,2023-10-15,USA,36,1185.1,1,18.13
,2023-12-08,Philippines,38,4380.96,0,-2.41
C1084,2023-05-31,UK,22,3131.4,1,12.57
C1085,2023-05-07,Philippines,35,1621.13,1,8.72
C1086,2023-06-04,Philippines,45,2021.81,0,18.19
C1087,2023-09-30,Philippines,59,1891.92,1,17.51
C1088,2023-04-14,UK,39,3364.93,1,11.83
C1089,2023-10-26,USA,38,2413.61,0,2.1
C1090,2023-09-03,Philippines,23,2945.58,0,7.13
C1091,2023-06-25,Philippines,18,2286.54,0,7.68
C1092,2023-02-08,UK,22,,0,3.37
C1093,2023-06-19,Philippines,58,2261.14,0,-10.0
C1094,2023-09-04,UK,29,1674.44,0,2.73
C1095,2023-01-26,UK,43,838.24,1,19.83
C1096,2023-12-21,Philippines,63,2650.95,0,19.81
C1097,2023-11-02,Philippines,51,799.07,0,8.07
,2023-01-13,,150,1784.93,0,11.64
C1099,2023-11-12,Philippines,31,1648.11,0,9.64
,2023-11-09,Philippines,43,2514.68,1,14.51
C1101,2023-02-05,UK,62,3251.76,0,16.37
C1102,2023-06-22,,44,2963.98,0,11.29
C1103,2023-01-20,,26,2537.94,0,12.35
C1104,2023-11-17,UK,43,1496.1,1,-10.0
C1105,2023-09-21,Philippines,64,1853.22,1,12.18
C1106,2023-05-22,Philippines,39,1736.58,0,10.81
C1107,2023-05-23,UK,64,1623.77,0,5.44
C1108,2023-04-02,USA,47,1678.04,0,9.93
,2023-12-20,Philippines,60,1656.69,0,8.08
C1110,2023-11-18,,,1621.26,0,6.95
C1111,2023-10-15,Philippines,34,2761.51,0,4.27
C1112,2023-08-03,Philippines,43,1156.29,0,10.31
C1113,2023-12-08,Philippines,53,1416.42,0,6.1
C1114,2023-02-20,Philippines,18,733.27,1,7.64
C1115,2023-06-02,Philippines,25,3132.39,0,15.38
C1116,2023-07-05,Philippines,150,1362.8,0,13.16
C1117,2023-03-04,Philippines,52,,0,5.11
C1118,2023-07-09,USA,32,2380.26,0,11.76
C1119,2023-05-05,UK,64,3055.07,1,10.66
C1120,2023-05-30,USA,39,1831.99,0,18.51
C1121,2023-11-10,,31,1241.97,0,16.92
C1122,2023-02-27,Philippines,43,755.4,1,2.33
C1123,2023-12-08,Philippines,45,-227.71,0,14.31
C1124,2023-11-01,UK,40,2129.08,0,16.33
C1125,2023-06-29,Philippines,31,2620.38,1,12.8
C1126,2023-06-19,,41,2377.35,0,8.32
C1127,2023-11-22,Philippines,19,776.19,0,22.07
,2023-09-28,,62,2831.06,1,13.26
C1129,2023-02-23,Philippines,43,1441.43,0,19.88
C1130,2023-04-11,UK,31,1274.48,0,16.76
C1131,2023-09-21,USA,24,1423.49,0,12.32
C1132,,,20,2062.73,1,7.1
C1133,2023-03-01,Philippines,64,812.24,0,9.88
C1134,2023-04-18,USA,40,1970.37,0,8.89
C1135,2023-01-05,,63,2343.56,0,3.93
C1136,2023-04-13,USA,60,2885.86,0,13.25
C1137,2023-07-15,USA,64,2140.77,0,17.84
C1138,2023-09-19,USA,62,,0,8.51
C1139,2023-12-31,Philippines,35,2119.11,0,20.82
C1140,2023-12-16,USA,55,1151.79,0,2.21
C1141,2023-02-16,USA,52,1105.64,0,15.27
C1142,2023-12-21,,32,909.84,0,18.36
C1143,2023-11-07,Philippines,42,471.0,0,8.98
C1144,2023-11-04,Philippines,54,1546.27,0,9.07
,2023-05-24,,45,2903.11,1,15.21
C1146,2023-09-26,UK,27,3805.19,0,12.53
C1147,2023-05-04,Philippines,56,1541.13,0,0.01
,2023-04-16,USA,34,2868.88,0,5.78
C1149,2023-06-07,Philippines,56,1684.33,1,9.93
C1150,2023-05-27,Philippines,39,,1,3.15
C1151,2023-05-25,Philippines,43,2560.75,0,7.63
C1152,2023-04-30,Philippines,61,2187.85,0,3.28
C1153,2023-11-15,USA,42,3454.42,1,8.15
C1154,2023-10-02,Philippines,34,772.26,0,8.32
C1155,2023-04-02,,30,4236.83,0,11.76
C1156,2023-02-27,,37,3273.37,0,9.54
C1157,2023-12-12,USA,42,1985.66,0,12.51
C1158,2023-08-17,USA,21,1761.09,1,11.92
C1159,2023-04-27,Philippines,27,1427.35,1,15.16
C1160,2023-11-14,UK,20,2087.79,0,14.37
C1161,2023-10-06,USA,58,1852.85,0,13.84
C1162,2023-05-07,Philippines,62,2411.04,1,25.52
C1163,2023-05-09,,35,1764.51,1,11.74
,2023-02-27,UK,64,3131.97,0,22.97
C1165,2023-05-02,,53,2100.04,1,12.06
C1166,2023-01-01,UK,64,1794.55,1,9.59
C1167,2023-08-27,USA,39,2819.43,1,8.13
,2023-10-17,Philippines,51,701.98,0,17.55
C1169,2023-04-06,,64,2272.79,0,18.2
C1170,,UK,25,2020.46,1,13.0
,2023-04-28,Philippines,57,871.32,0,15.67
C1172,2023-02-17,Philippines,150,633.2,1,3.61
C1173,2023-03-30,Philippines,61,2808.28,0,2.26
C1174,2023-08-25,UK,36,2770.23,0,16.23
C1175,2023-09-29,,59,2138.05,0,9.37
C1176,2023-07-08,Philippines,58,3373.33,0,13.75
C1177,2023-07-11,USA,54,2352.77,1,6.41
C1178,2023-03-10,Philippines,23,2999.84,1,18.28
C1179,2023-10-05,,43,2336.26,1,2.3
C1180,2023-12-15,UK,51,1779.35,0,3.07
C1181,2023-09-04,UK,62,1153.97,0,17.22
C1182,2023-03-17,Philippines,23,1517.25,0,-3.05
C1183,2023-06-03,Philippines,54,1794.3,0,11.89
C1184,2023-05-24,Philippines,50,3090.52,0,9.46
C1185,2023-03-27,Philippines,39,2615.94,0,6.32
C1186,2023-07-04,UK,38,2264.26,0,9.0
C1187,2023-10-12,UK,23,2696.01,0,5.76
C1188,2023-08-08,,23,2421.91,1,17.71
C1189,2023-03-10,,,2209.55,1,19.02
,2023-02-16,USA,21,801.07,0,6.57
C1191,2023-04-04,UK,47,2911.33,0,11.38
C1192,2023-08-26,,28,1633.19,1,3.37
C1193,2023-07-23,UK,47,2870.83,0,15.37
C1194,2023-08-06,Philippines,48,,1,15.24
C1195,2023-12-07,Philippines,41,1463.97,1,8.52
C1196,2023-02-08,Philippines,26,2759.77,0,10.08
C1197,2023-04-10,,20,1711.21,0,9.53
C1198,2023-10-16,USA,48,1715.97,0,1.91
C1199,2023-09-11,Philippines,57,2205.98,0,17.73
