CustomerID,SignupDate,Country,Age,MonthlySpend,Churned,WatchTimeHours
C1059,15/12/2023,USA,30,2043.94,0,9.76
C1060,29/10/2023,UK,60,2193.61,0,16.49
C1061,30/06/2023,Philippines,60,775.62,0,10.54
C1062,05/04/2023,UK,42,506.12,0,14.17
C1063,09/04/2023,Philippines,28,1388.17,0,7.53
C1064,07/07/2023,Philippines,64,2732.94,0,6.38
C1065,26/04/2023,Unknown,40,2872.29,1,13.66
C1066,10/07/2023,Philippines,33,3364.66,0,12.15
C1067,10/09/2023,Philippines,48,1974.14,0,11.22
C1069,13/09/2023,Unknown,33,2807.92,0,17.75
C1070,19/11/2023,USA,25,1602.51,0,4.42
C1071,08/05/2023,USA,21,2310.28,1,4.14
C1073,08/10/2023,Philippines,21,1272.67,0,14.3
C1074,11/08/2023,Philippines,42,3313.68,0,11.77
C1075,23/02/2023,USA,20,1968.95,1,10.84
C1076,27/02/2023,UK,49,2069.63,1,12.51
C1078,26/12/2023,UK,44,1376.46,0,22.58
C1079,23/06/2023,Philippines,46,2133.565,0,1.72
C1080,07/10/2023,Philippines,49,2044.12,0,7.91
C1081,24/04/2023,Philippines,42,4004.55,1,7.59
C1082,15/10/2023,USA,36,1185.1,1,18.13
C1084,31/05/2023,UK,22,3131.4,1,12.57
C1085,07/05/2023,Philippines,35,1621.13,1,8.72
C1086,04/06/2023,Philippines,45,2021.81,0,18.19
C1087,30/09/2023,Philippines,59,1891.92,1,17.51
C1088,14/04/2023,UK,39,3364.93,1,11.83
C1089,26/10/2023,USA,38,2413.61,0,2.1
C1090,03/09/2023,Philippines,23,2945.58,0,7.13
C1091,25/06/2023,Philippines,18,2286.54,0,7.68
C1092,08/02/2023,UK,22,2133.565,0,3.37
C1093,19/06/2023,Philippines,58,2261.14,0,10.84
C1094,04/09/2023,UK,29,1674.44,0,2.73
C1095,26/01/2023,UK,43,838.24,1,19.83
C1096,21/12/2023,Philippines,63,2650.95,0,19.81
C1097,02/11/2023,Philippines,51,799.07,0,8.07
C1099,12/11/2023,Philippines,31,1648.11,0,9.64
C1101,05/02/2023,UK,62,3251.76,0,16.37
C1102,22/06/2023,Unknown,44,2963.98,0,11.29
C1103,20/01/2023,Unknown,26,2537.94,0,12.35
C1104,17/11/2023,UK,43,1496.1,1,10.84
C1105,21/09/2023,Philippines,64,1853.22,1,12.18
C1106,22/05/2023,Philippines,39,1736.58,0,10.81
C1107,23/05/2023,UK,64,1623.77,0,5.44
C1108,02/04/2023,USA,47,1678.04,0,9.93
C1110,18/11/2023,Unknown,42,1621.26,0,6.95
C1111,15/10/2023,Philippines,34,2761.51,0,4.27
C1112,03/08/2023,Philippines,43,1156.29,0,10.31
C1113,08/12/2023,Philippines,53,1416.42,0,6.1
C1114,20/02/2023,Philippines,18,733.27,1,7.64
C1115,02/06/2023,Philippines,25,3132.39,0,15.38
C1116,05/07/2023,Philippines,42,1362.8,0,13.16
C1117,04/03/2023,Philippines,52,2133.565,0,5.11
C1118,09/07/2023,USA,32,2380.26,0,11.76
C1119,05/05/2023,UK,64,3055.07,1,10.66
C1120,30/05/2023,USA,39,1831.99,0,18.51
C1121,10/11/2023,Unknown,31,1241.97,0,16.92
C1122,27/02/2023,Philippines,43,755.4,1,2.33
C1123,08/12/2023,Philippines,45,-227.71,0,14.31
C1124,01/11/2023,UK,40,2129.08,0,16.33
C1125,29/06/2023,Philippines,31,2620.38,1,12.8
C1126,19/06/2023,Unknown,41,2377.35,0,8.32
C1127,22/11/2023,Philippines,19,776.19,0,22.07
C1129,23/02/2023,Philippines,43,1441.43,0,19.88
C1130,11/04/2023,UK,31,1274.48,0,16.76
C1131,21/09/2023,USA,24,1423.49,0,12.32
C1132,,Unknown,20,2062.73,1,7.1
C1133,01/03/2023,Philippines,64,812.24,0,9.88
C1134,18/04/2023,USA,40,1970.37,0,8.89
C1135,05/01/2023,Unknown,63,2343.56,0,3.93
C1136,13/04/2023,USA,60,2885.86,0,13.25
C1137,15/07/2023,USA,64,2140.77,0,17.84
C1138,19/09/2023,USA,62,2133.565,0,8.51
C1139,31/12/2023,Philippines,35,2119.11,0,20.82
C1140,16/12/2023,USA,55,1151.79,0,2.21
C1141,16/02/2023,USA,52,1105.64,0,15.27
C1142,21/12/2023,Unknown,32,909.84,0,18.36
C1143,07/11/2023,Philippines,42,471,0,8.98
C1144,04/11/2023,Philippines,54,1546.27,0,9.07
C1146,26/09/2023,UK,27,3805.19,0,12.53
C1147,04/05/2023,Philippines,56,1541.13,0,0.01
C1149,07/06/2023,Philippines,56,1684.33,1,9.93
C1150,27/05/2023,Philippines,39,2133.565,1,3.15
C1151,25/05/2023,Philippines,43,2560.75,0,7.63
C1152,30/04/2023,Philippines,61,2187.85,0,3.28
C1153,15/11/2023,USA,42,3454.42,1,8.15
C1154,02/10/2023,Philippines,34,772.26,0,8.32
C1155,02/04/2023,Unknown,30,4236.83,0,11.76
C1156,27/02/2023,Unknown,37,3273.37,0,9.54
C1157,12/12/2023,USA,42,1985.66,0,12.51
C1158,17/08/2023,USA,21,1761.09,1,11.92
C1159,27/04/2023,Philippines,27,1427.35,1,15.16
C1160,14/11/2023,UK,20,2087.79,0,14.37
C1161,06/10/2023,USA,58,1852.85,0,13.84
C1162,07/05/2023,Philippines,62,2411.04,1,25.52
C1163,09/05/2023,Unknown,35,1764.51,1,11.74
C1165,02/05/2023,Unknown,53,2100.04,1,12.06
C1166,01/01/2023,UK,64,1794.55,1,9.59
C1167,27/08/2023,USA,39,2819.43,1,8.13
C1169,06/04/2023,Unknown,64,2272.79,0,18.2
C1170,,UK,25,2020.46,1,13
C1172,17/02/2023,Philippines,42,633.2,1,3.61
C1173,30/03/2023,Philippines,61,2808.28,0,2.26
C1174,25/08/2023,UK,36,2770.23,0,16.23
C1175,29/09/2023,Unknown,59,2138.05,0,9.37
C1176,08/07/2023,Philippines,58,3373.33,0,13.75
C1177,11/07/2023,USA,54,2352.77,1,6.41
C1178,10/03/2023,Philippines,23,2999.84,1,18.28
C1179,05/10/2023,Unknown,43,2336.26,1,2.3
C1180,15/12/2023,UK,51,1779.35,0,3.07
C1181,04/09/2023,UK,62,1153.97,0,17.22
C1182,17/03/2023,Philippines,23,1517.25,0,10.84
C1183,03/06/2023,Philippines,54,1794.3,0,11.89
C1184,24/05/2023,Philippines,50,3090.52,0,9.46
C1185,27/03/2023,Philippines,39,2615.94,0,6.32
C1186,04/07/2023,UK,38,2264.26,0,9
C1187,12/10/2023,UK,23,2696.01,0,5.76
C1188,08/08/2023,Unknown,23,2421.91,1,17.71
C1189,10/03/2023,Unknown,42,2209.55,1,19.02
C1191,04/04/2023,UK,47,2911.33,0,11.38
C1192,26/08/2023,Unknown,28,1633.19,1,3.37
C1193,23/07/2023,UK,47,2870.83,0,15.37
C1194,06/08/2023,Philippines,48,2133.565,1,15.24
C1195,07/12/2023,Philippines,41,1463.97,1,8.52
C1196,08/02/2023,Philippines,26,2759.77,0,10.08
C1197,10/04/2023,Unknown,20,1711.21,0,9.53
C1198,16/10/2023,USA,48,1715.97,0,1.91
C1199,11/09/2023,Philippines,57,2205.98,0,17.73
